Time      |   E_kin  |    E_pot  |    EPR     |   cold/cold coll rate    |   cold/hot coll rate     |   hot/hot coll rate  |   total coll rate
1.0	3.7495382e6	3.0122562e10	3.0122562e7	3.1239e7	3.0878547e8	1.51389e8	4.914135e8
2.0	3.7928015e6	2.641144e10	2.641144e7	2.76345e7	2.847555e8	1.509885e8	4.633785e8
3.0	3.721847e6	5.0354176e7	50354.176	3.2039998e7	2.6272798e8	3.2052017e9	3.4999693e9
4.0	3.7819478e6	3.657139e10	3.6571388e7	2.3265044e9	2.74743e8	1.926405e8	2.7938877e9
5.0	3.7318578e6	-3.0415208e10	-3.0415208e7	3.48435e7	2.663325e8	1.557945e8	4.569705e8
6.0	3.751868e6	1.1371314e10	1.1371314e7	3.3241498e7	2.583225e8	1.6901099e8	4.60575e8
7.0	3.7634512e6	5.240418e10	5.240418e7	3.6045e7	2.687355e8	1.469835e8	4.51764e8
8.0	3.7632975e6	8.57219e10	8.5721896e7	3.7647e7	2.89962e8	1.29762e8	4.57371e8
9.0	3.7693158e6	-1.108791e10	-1.108791e7	4.2452996e7	2.9516848e8	1.541925e8	4.9181398e8
10.0	3.7769642e6	-8.1579885e10	-8.157989e7	3.9249e7	2.8876048e8	1.5018749e8	4.78197e8
